id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
2219788,321358,1008,229.0,,49,,,,,
2219881,321359,1008,50.0,,49,,,,,
2220034,321360,1008,27.0,,49,,,,,
2221279,321900,1008,32.0,,49,,,,,
2222981,322228,1008,43.0,,49,,,,,
2224702,322559,1008,34.0,,49,,,,,
2226446,322892,1008,60.0,,49,,,,,
2227686,323121,1008,314.0,,49,,,,,
2229572,323505,1008,35.0,,49,,,,,
2230983,324038,1008,29.0,,49,,,,,
2232168,324317,1008,288.0,,49,,,,,
2233050,324653,1008,12.0,,49,,,,,
2235089,325036,1008,421.0,,49,,,,,
2236397,325430,1008,42.0,,49,,,,,
2236792,325524,1008,612.0,,49,,,,,
2237575,325658,1008,322.0,,49,,,,,
2238521,325871,1008,270.0,,49,,,,,
2240073,326135,1008,393.0,,49,,,,,
2241721,326698,1008,61.0,,49,,,,,
2242226,326905,1008,249.0,,49,,,,,
2242732,327046,1008,58.0,,49,,,,,
2243060,327198,1008,34.0,,49,,,,,
2243546,327357,1008,39.0,,49,,,,,
2244386,327699,1008,31.0,,49,,,,,
2244897,327923,1008,17.0,,49,,,,,
2247787,328637,1008,408.0,,49,,,,,
2251279,329370,1008,298.0,,49,,,,,
2253847,330137,1008,61.0,,49,,,,,
2254843,330458,1008,833.0,,49,,,,,
2259100,331897,1008,156.0,,49,,,,,
2259526,331960,1008,166.0,,49,,,,,
2261743,332397,1008,106.0,,49,,,,,
2263143,332791,1008,130.0,,49,,,,,
2268127,334194,1008,90.0,,49,,,,,
2268383,334247,1008,385.0,,49,,,,,
2273116,335240,1008,254.0,,49,,,,,
8515095,746771,1008,47.0,,49,,,,,
8515295,746773,1008,57.0,,49,,,,,
13338563,746775,2047,0,,1,,,,,
8525380,747693,1008,117.0,,49,,,,,
8526271,747997,1008,55.0,,49,,,,,
8530276,748967,1008,148.0,,49,,,,,
9636111,789890,1008,366.0,,49,,,,,
9638716,790646,1008,38.0,,49,,,,,
9639408,790991,1008,97.0,,49,,,,,
13335664,1104647,1008,143.0,,49,,,,,
13337623,1105430,1008,62.0,,49,,,,,
21115510,1750337,2047,38.485,,49,,,,,
21115550,1750347,2047,31.2172,,49,,,,,
21115554,1750352,2047,26.602,,49,,,,,
24474238,2003590,2047,48.3763,,49,,,,,
24474245,2003591,2047,47.225,,49,,,,,
27790257,2257045,2047,19.33,,49,,,,,
27790263,2257046,2047,48.3298,,49,,,,,
27791509,2258586,2047,47.9906,,49,,,,,
27791517,2258588,2047,22.9291,,49,,,,,
27791525,2258590,2047,31.3256,,49,,,,,
27793271,2259792,2047,42.835,,49,,,,,
27793278,2259793,2047,77.9524,,49,,,,,
27793302,2259796,2047,272.884,,49,,,,,
27795961,2262072,2047,631.65,,49,,,,,
27795965,2262073,2047,697.1376,,49,,,,,
27795969,2262074,2047,645.456,,49,,,,,
27795973,2262075,2047,545.084,,49,,,,,
27797251,2263888,2047,57.3375,,49,,,,,
27797256,2263889,2047,63.8563,,49,,,,,
27797261,2263890,2047,85.919,,49,,,,,
27797266,2263891,2047,80.1025,,49,,,,,
27797271,2263892,2047,51.6025,,49,,,,,
28912755,2346384,2047,102.921,,49,,,,,
28912760,2346385,2047,342.794,,49,,,,,
28912765,2346386,2047,343.31,,49,,,,,
28912770,2346387,2047,196.4148,,49,,,,,
28912774,2346388,2047,17.10875,,49,,,,,
28912794,2346393,2047,625.75,,49,,,,,
28912798,2346394,2047,729.556,,49,,,,,
28912802,2346395,2047,750.152,,49,,,,,
28912806,2346396,2047,381.626,,49,,,,,
28912810,2346397,2047,381.248,,49,,,,,
28912814,2346398,2047,60.1113,,49,,,,,
28912819,2346399,2047,70.5425,,49,,,,,
28912824,2346400,2047,39.9998,,49,,,,,
28912829,2346401,2047,83.42,,49,,,,,
28912844,2346404,2047,78.999,,49,,,,,
28912849,2346405,2047,16.6973,,49,,,,,
28912853,2346406,2047,15.9075,,49,,,,,
28912857,2346407,2047,31.4275,,49,,,,,
31222732,2512378,2047,356.135,,49,,,,,
31222736,2512379,2047,375.618,,49,,,,,
31222740,2512380,2047,365.518,,49,,,,,
31222744,2512381,2047,358.705,,49,,,,,
31223364,2514743,2047,184.8648,,49,,,,,
31223368,2514744,2047,242.61,,49,,,,,
31223380,2514747,2047,152.615,,49,,,,,
31224747,2515374,2047,564.664,,49,,,,,
31224755,2515376,2047,588.332,,49,,,,,
31224767,2515379,2047,597.98,,49,,,,,
31224771,2515380,2047,554.602,,49,,,,,
33293995,2644283,2047,360.285,,49,,,,,
33294003,2644285,2047,118.361,,49,,,,,
33294015,2644288,2047,137.22,,49,,,,,
33294019,2644289,2047,126.624,,49,,,,,
33294027,2644291,2047,80.145,,49,,,,,
33294031,2644292,2047,116.57,,49,,,,,
33295319,2646168,2047,167.769,,49,,,,,
33295323,2646169,2047,119.039,,49,,,,,
33295327,2646170,2047,106.034,,49,,,,,
33295331,2646171,2047,144.07,,49,,,,,
33295335,2646172,2047,254.11,,49,,,,,
33829270,2684440,2047,129.984,,49,,,,,
33829276,2684441,2047,197.294,,49,,,,,
33829282,2684442,2047,94.659,,49,,,,,
33829288,2684443,2047,71.4265,,49,,,,,
33829294,2684444,2047,65.9855,,49,,,,,
34660063,2685568,2047,19,,49,,,,,
33831495,2685570,2047,48.1323,,49,,,,,
33831507,2685573,2047,27.5923,,49,,,,,
33831515,2685575,2047,59.485,,49,,,,,
33831519,2685576,2047,44.6205,,49,,,,,
33831524,2685577,2047,26.0848,,49,,,,,
34494199,2710819,2047,517.154,,49,,,,,
34494203,2710820,2047,372.341,,49,,,,,
34494207,2710821,2047,369.164,,49,,,,,
34494211,2710822,2047,30.993,,49,,,,,
34494215,2710823,2047,28.1015,,49,,,,,
34494219,2710824,2047,223.334,,49,,,,,
34494227,2710826,2047,84.55,,49,,,,,
34494236,2710828,2047,367.011,,49,,,,,
34494258,2710833,2047,68.4625,,49,,,,,
34678582,2727570,2047,236.6068,,49,,,,,
34678594,2727573,2047,143.2,,49,,,,,
34678598,2727574,2047,140.144,,49,,,,,
34678602,2727575,2047,138.275,,49,,,,,
34152152,2705630,208,207,,,,,,,
34168727,2705885,208,484,,,,,,,
34173342,2705956,208,161,,,,,,,
34183027,2706105,208,139,,,,,,,
34186992,2706166,208,310,,,,,,,
34191867,2706241,208,126,,,,,,,
34194792,2706286,208,274,,,,,,,
34199797,2706363,208,90,,,,,,,
34251147,2707153,208,176,,,,,,,
34254072,2707198,208,185,,,,,,,
34266942,2707396,208,90,,,,,,,
34268827,2707425,208,115,,,,,,,
34269932,2707442,208,53,,,,,,,
34294697,2707823,208,218,,,,,,,
34294762,2707824,208,306,,,,,,,
34329082,2708352,208,137,,,,,,,
34329407,2708357,208,157,,,,,,,
34330967,2708381,208,64,,,,,,,
34332202,2708400,208,120,,,,,,,
34332397,2708403,208,129,,,,,,,
34332787,2708409,208,123,,,,,,,
34334867,2708441,208,111,,,,,,,
34346112,2708614,208,266,,,,,,,
34384917,2709211,208,240,,,,,,,
34388752,2709270,208,30,,,,,,,
34400972,2709458,208,198,,,,,,,
34446277,2710155,208,743,,,,,,,
34448292,2710186,208,900,,,,,,,
34448422,2710188,208,900,,,,,,,
34449462,2710204,208,680,,,,,,,
34449982,2710212,208,430,,,,,,,
34460577,2710375,208,1,,,,,,,
34461292,2710386,208,43,,,,,,,
34466882,2710472,208,27,,,,,,,
34476242,2710616,208,43,,,,,,,
34480922,2710688,208,85,,,,,,,
34480987,2710689,208,82,,,,,,,
13335662,1104647,1003,6.62,,49,5.31,7.94,6.66,,
13335660,1104647,1004,0.38,6,1,0.3,0.5,0.4,,2020
13335663,1104647,1005,28.2,,49,,,,,
13337621,1105430,1003,0.19,,49,0.12,0.25,0.19,,
13337617,1105430,1004,0.21,8,1,0.1,0.3,0.2,,2020
13337622,1105430,1005,14.8,,49,,,,,
21115508,1750337,1003,3.546875,,49,3.0,4.6875,3.46875,,
21115385,1750337,1004,2.125,8,1,1.86,2.695,2.115,,2020
21115509,1750337,1005,1.293125,,49,,,,,
21115548,1750347,1003,2.890625,,49,2.125,3.5625,2.90625,,
21114797,1750347,1004,0.3708,6,1,0.29,0.445,0.36,,2021
21115549,1750347,1005,4.079375,,49,,,,,
21115552,1750352,1003,2.851875,,49,2.5,3.375,2.6875,,
21114733,1750352,1004,0.6188,8,1,0.54,0.73,0.605,,2020
21115553,1750352,1005,2.406325,,49,,,,,
24474236,2003590,1003,0.0859375,,49,0.0,0.1875,0.125,,
24473988,2003590,1004,0.2863,8,1,0.17,0.64,0.21,,2021
24474237,2003590,1005,11.3639625,,49,,,,,
24474243,2003591,1003,0.734375,,49,0.5625,0.8125,0.75,,
24474016,2003591,1004,0.325,8,1,0.12,0.89,0.235,,2021
24474244,2003591,1005,10.340625,,49,,,,,
27790253,2257045,1003,0.65625,,49,0.4375,1.5,0.53125,,
27790240,2257045,1004,1.558,8,1,1.15,1.98,1.505,,2021
27790254,2257045,1005,0.67075,,49,,,,,
27790259,2257046,1003,0.796875,,49,0.375,1.1875,0.84375,,
27790136,2257046,1004,2.749,8,1,0.22,4.68,2.645,,2021
27790260,2257046,1005,5.100325,,49,,,,,
27791507,2258586,1003,0.94125,,49,0.6875,1.25,0.9375,,
27791386,2258586,1004,0.3506,8,1,0.0,1.79,0.2125,,2021
27791508,2258586,1005,10.26755,,49,,,,,
27791515,2258588,1003,0.715,,49,0.625,0.8125,0.71875,,
27791472,2258588,1004,0.1063,8,1,0.0,0.48,0.0,,2021
27791516,2258588,1005,4.7781,,49,,,,,
27791523,2258590,1003,0.895625,,49,0.625,1.625,0.8125,,
27791429,2258590,1004,0.1256,9,1,0.0,0.33,0.11,,2021
27791524,2258590,1005,6.653175,,49,,,,,
27793267,2259792,1003,3.464978,,49,3.2538,3.7642,3.4133,,
27793176,2259792,1004,1.081,8,1,0.84,1.39,1.1,,2021
27793268,2259792,1005,4.811522,,49,,,,,
27793274,2259793,1003,3.824172,,49,3.1262,5.0402,3.58875,,
27793213,2259793,1004,4.484,8,1,3.66,5.66,4.515,,2021
27793275,2259793,1005,5.574928,,49,,,,,
27793298,2259796,1003,19.70782,,49,16.9708,23.1594,19.44624,,
27793253,2259796,1004,19.08,8,1,14.85,26.98,19.03,,2021
27793299,2259796,1005,5.58318,,49,,,,,
27795959,2262072,1003,23.99124,,49,23.1504,25.3344,23.8602,,
27795898,2262072,1004,49.43,8,1,33.51,54.24,52.04,,2021
27795960,2262072,1005,22.70376,,49,,,,,
27795963,2262073,1003,19.7054,,49,18.073,21.041,19.6895,,
27795953,2262073,1004,62.4,8,1,57.19,66.01,62.73,,2021
27795964,2262073,1005,14.179,,49,,,,,
27795967,2262074,1003,20.78734,,49,15.6436,22.533,21.2898,,
27795789,2262074,1004,53.04,8,1,47.85,58.72,52.9,,2021
27795968,2262074,1005,21.23666,,49,,,,,
27795971,2262075,1003,18.0359,,49,14.204,23.426,17.4105,,
27795842,2262075,1004,37.28,8,1,11.69,42.29,41.44,,2021
27795972,2262075,1005,34.3551,,49,,,,,
27797249,2263888,1003,1.008125,,49,0.75,1.5625,0.9375,,
27797162,2263888,1004,0.1875,8,1,0.0,0.43,0.205,,2021
27797250,2263888,1005,12.904375,,49,,,,,
27797254,2263889,1003,0.703125,,49,0.5,1.0,0.625,,
27797180,2263889,1004,0.3063,8,1,0.18,0.57,0.265,,2021
27797255,2263889,1005,14.571775,,49,,,,,
27797259,2263890,1003,0.914375,,49,0.4375,1.5625,0.875,,
27797112,2263890,1004,0.1638,8,1,0.0,0.31,0.17,,2021
27797260,2263890,1005,20.196825,,49,,,,,
27797264,2263891,1003,0.89875,,49,0.6875,1.375,0.78125,,
27797133,2263891,1004,0.2325,8,1,0.16,0.32,0.245,,2021
27797265,2263891,1005,18.60375,,49,,,,,
27797269,2263892,1003,0.2734375,,49,0.1875,0.4375,0.21875,,
27797209,2263892,1004,0.1625,8,1,0.0,0.24,0.175,,2021
27797270,2263892,1005,12.2615625,,49,,,,,
28912752,2346384,1003,11.62436,,49,9.6976,14.674,11.2288,,
28912422,2346384,1004,4.225,10,1,3.72,4.58,4.19,,2022
28912753,2346384,1005,4.59964,,49,,,,,
28912757,2346385,1003,5.78985,,49,5.2316,6.8904,5.6463,,
28912394,2346385,1004,33.49,8,1,32.14,34.49,33.61,,2022
28912758,2346385,1005,4.55615,,49,,,,,
28912762,2346386,1003,2.017994,,49,1.9778,2.1692,1.9778,,
28912366,2346386,1004,35.56,8,1,32.77,37.4,35.42,,2022
28912763,2346386,1005,3.799506,,49,,,,,
